ID,Diagnostic Code,Diagnosis Description
1,001,Cholera
2,0010,Cholera D/T Vib Cholerae
3,0011,Cholera D/T Vib El Tor
4,0019,Cholera Nos
5,002,Typhoid/Paratyphoid Fev
6,0020,Typhoid Fever
7,0021,Paratyphoid Fever A
8,0022,Paratyphoid Fever B
9,0023,Paratyphoid Fever C
10,0029,Paratyphoid Fever Nos
11,003,Oth Salmonella Infection
12,0030,Salmonella Enteritis
13,0031,Salmonella Septicemia
14,0032,Local Salmonella Infect
15,00320,Local Salmonella Inf Nos
16,00321,Salmonella Meningitis
17,00322,Salmonella Pneumonia
18,00323,Salmonella Arthritis
19,00324,Salmonella Osteomyelitis
20,00329,Local Salmonella Inf Nec
21,0038,Salmonella Infection Nec
22,0039,Salmonella Infection Nos
23,004,Shigellosis
24,0040,Shigella Dysenteriae
25,0041,Shigella Flexneri
26,0042,Shigella Boydii
27,0043,Shigella Sonnei
28,0048,Shigella Infection Nec
29,0049,Shigellosis Nos
30,005,Other Food Poisoning
31,0050,Staph Food Poisoning
32,0051,Botulism
33,0052,Food Pois D/T C. Perfrin
34,0053,Food Pois: Clostrid Nec
35,0054,Food Pois: V. Parahaem
36,0058,Bact Food Poisoning Nec
37,00581,Food Poisn D/T V. Vulnif
38,00589,Bact Food Poisoning Nec
39,0059,Food Poisoning Nos
40,006,Amebiasis
41,0060,Ac Amebiasis W/O Abscess
42,0061,Chr Amebiasis W/O Absces
43,0062,Amebic Nondysent Colitis
44,0063,Amebic Liver Abscess
45,0064,Amebic Lung Abscess
46,0065,Amebic Brain Abscess
47,0066,Amebic Skin Ulceration
48,0068,Amebic Infection Nec
49,0069,Amebiasis Nos
50,007,Oth Protozoal Intest Dis
51,0070,Balantidiasis
52,0071,Giardiasis
53,0072,Coccidiosis
54,0073,Intest Trichomoniasis
55,0074,Cryptosporidiosis
56,0075,Cyclosporiasis
57,0078,Protozoal Intest Dis Nec
58,0079,Protozoal Intest Dis Nos
59,008,Intestinal Infection Nec
60,0080,E. Coli Enteritis
61,00800,Intest Infec E Coli Nos
62,00801,Int Inf E Coli Entrpath
63,00802,Int Inf E Coli Entrtoxgn
64,00803,Int Inf E Coli Entrnvsv
65,00804,Int Inf E Coli Entrhmrg
66,00809,Int Inf E Coli Spcf Nec
67,0081,Arizona Enteritis
68,0082,Aerobacter Enteritis
69,0083,Proteus Enteritis
70,0084,Bacterial Enteritis Nec
71,00841,Staphylococc Enteritis
72,00842,Pseudomonas Enteritis
73,00843,Int Infec Campylobacter
74,00844,Int Inf Yrsnia Entrcltca
75,00845,Int Inf Clstrdium Dfcile
76,00846,Intes Infec Oth Anerobes
77,00847,Int Inf Oth Grm Neg Bctr
78,00849,Bacterial Enteritis Nec
79,0085,Bacterial Enteritis Nos
80,0086,Viral Enteritis Nec
81,00861,Intes Infec Rotavirus
82,00862,Intes Infec Adenovirus
83,00863,Int Inf Norwalk Virus
84,00864,Int Inf Oth Sml Rnd Vrus
85,00865,Intes Infec Calcivirus
86,00866,Intes Infec Astrovirus
87,00867,Int Inf Enterovirus Nec
88,00869,Other Viral Intes Infec
89,0088,Viral Enteritis Nos
90,009,Ill-Defined Intest Inf
91,0090,Infectious Enteritis Nos
92,0091,Enteritis Of Infect Orig
93,0092,Infectious Diarrhea Nos
94,0093,Diarrhea Of Infect Orig
95,010,Primary Tb Infection
96,0100,Primary Tb Complex
97,01000,Prim Tb Complex-Unspec
98,01001,Prim Tb Complex-No Exam
99,01002,Prim Tb Complex-Exm Unkn
100,01003,Prim Tb Complex-Micro Dx
101,01004,Prim Tb Complex-Cult Dx
102,01005,Prim Tb Complex-Histo Dx
103,01006,Prim Tb Complex-Oth Test
104,0101,Primary Tb Pleurisy
105,01010,Prim Tb Pleurisy-Unspec
106,01011,Prim Tb Pleurisy-No Exam
107,01012,Prim Tb Pleur-Exam Unkn
108,01013,Prim Tb Pleuris-Micro Dx
109,01014,Prim Tb Pleurisy-Cult Dx
110,01015,Prim Tb Pleuris-Histo Dx
111,01016,Prim Tb Pleuris-Oth Test
112,0108,Prim Progressive Tb Nec
113,01080,Prim Prog Tb Nec-Unspec
114,01081,Prim Prog Tb Nec-No Exam
115,01082,Prim Pr Tb Nec-Exam Unkn
116,01083,Prim Prg Tb Nec-Micro Dx
117,01084,Prim Prog Tb Nec-Cult Dx
118,01085,Prim Prg Tb Nec-Histo Dx
119,01086,Prim Prg Tb Nec-Oth Test
120,0109,Primary Tb Infection Nos
121,01090,Primary Tb Nos-Unspec
122,01091,Primary Tb Nos-No Exam
123,01092,Primary Tb Nos-Exam Unkn
124,01093,Primary Tb Nos-Micro Dx
125,01094,Primary Tb Nos-Cult Dx
126,01095,Primary Tb Nos-Histo Dx
127,01096,Primary Tb Nos-Oth Test
128,011,Pulmonary Tuberculosis
129,0110,"Tb Of Lung, Infiltrative"
130,01100,Tb Lung Infiltr-Unspec
131,01101,Tb Lung Infiltr-No Exam
132,01102,Tb Lung Infiltr-Exm Unkn
133,01103,Tb Lung Infiltr-Micro Dx
134,01104,Tb Lung Infiltr-Cult Dx
135,01105,Tb Lung Infiltr-Histo Dx
136,01106,Tb Lung Infiltr-Oth Test
137,0111,"Tb Of Lung, Nodular"
138,01110,Tb Lung Nodular-Unspec
139,01111,Tb Lung Nodular-No Exam
140,01112,Tb Lung Nodul-Exam Unkn
141,01113,Tb Lung Nodular-Micro Dx
142,01114,Tb Lung Nodular-Cult Dx
143,01115,Tb Lung Nodular-Histo Dx
144,01116,Tb Lung Nodular-Oth Test
145,0112,Tb Of Lung W Cavitation
146,01120,Tb Lung W Cavity-Unspec
147,01121,Tb Lung W Cavity-No Exam
148,01122,Tb Lung Cavity-Exam Unkn
149,01123,Tb Lung W Cavit-Micro Dx
150,01124,Tb Lung W Cavity-Cult Dx
151,01125,Tb Lung W Cavit-Histo Dx
152,01126,Tb Lung W Cavit-Oth Test
153,0113,Tuberculosis Of Bronchus
154,01130,Tb Of Bronchus-Unspec
155,01131,Tb Of Bronchus-No Exam
156,01132,Tb Of Bronchus-Exam Unkn
157,01133,Tb Of Bronchus-Micro Dx
158,01134,Tb Of Bronchus-Cult Dx
159,01135,Tb Of Bronchus-Histo Dx
160,01136,Tb Of Bronchus-Oth Test
