codes
"015,015.12,015.20,015.66,015.76"
"295.04,295.51,295.54,295.81,295.9"
"371,371.24,371.44,371.5,371.55"
"378.17,378.31,378.54,378.6,378.7"
"574,574.00,574.30,574.61,574.71"
"642.12,642.13,642.2,642.34,642.93"
"711.04,711.11,711.14,711.31,711.99"
"718.30,718.37,718.75,718.83,718.94"
"747.20,747.21,747.22,747.29,747.41"
"789.0,789.09,789.30,789.35,789.47"
"803.14,803.19,803.44,803.46,803.72"
"805,805.03,805.18,805.5,805.8"
"851.06,851.14,851.81,851.82,851.86"
"873.30,873.49,873.62,873.63,873.75"
"944.17,944.21,944.26,944.30,944.31"
"E82.08,E82.21,E82.29,E82.72,E82.8"
"E87.10,E87.26,E87.40,E87.44,E87.49"
